cust,group,y,x_1,x_2,x_39,x_40,x_41,x_42,x_43,x_44,x_45,x_46,x_47,x_48,x_49,x_50,x_51,x_52,x_53,x_54,x_55,x_56,x_57,x_58,x_59,x_60,x_61,x_62,x_63,x_64,x_65,x_66,x_67,x_68,x_69,x_78,x_79,x_80,x_81,x_95
,,0,0.354166667,0.604988451,6,9,10,7,9,7,6,2,8,10,1,3,9,9,9,2,10,11,3,1,2,2,1,1,1,1,1,4,3,5,6,2,6,0.865023474,0.969147005,0.436170213
,,0,0.125,0.012057895,7,8,7,7,3,10,6,3,7,6,1,5,7,8,7,8,8,9,10,2,8,9,1,2,3,10,9,5,9,6,3,7,8,0.820422535,0.905626134,0.29787234
,,0,0.333333333,0.56597936,2,1,3,6,5,7,3,2,8,4,1,1,4,4,3,8,4,5,7,1,5,6,1,2,3,1,2,2,2,2,2,1,2,0.742957746,0.867513612,0.372340426
,,0,0.208333333,0.316209286,2,2,3,7,9,7,9,2,7,6,2,3,2,2,4,7,10,10,10,1,1,1,1,1,4,2,2,2,3,3,3,2,4,0.761737089,0.907441016,0.053191489
,,0,0.208333333,0.008061201,2,9,11,10,9,10,7,3,11,4,1,5,10,10,11,9,7,8,9,2,6,8,1,1,1,1,2,2,3,3,2,6,6,0.926056338,0.86569873,0.095744681
,,0,0.25,0.60998114,2,5,8,6,10,9,2,3,7,3,1,3,7,7,8,5,7,6,8,3,5,4,1,1,1,1,2,2,7,6,4,7,4,0.892018779,0.967332123,-99
,,0,0.208333333,0.531212783,2,7,2,5,10,8,4,4,5,5,1,3,2,2,3,6,9,9,9,1,8,8,3,3,3,3,3,2,10,7,3,3,2,0.745305164,0.970961887,0.14893617
,,0,0.395833333,0.781656742,7,4,3,7,6,6,7,1,7,4,2,2,3,3,3,7,3,3,3,1,2,3,1,1,1,8,7,8,9,6,5,4,5,0.786384977,0.57168784,0.382978723
,,0,0.208333333,0.398122444,10,8,9,15,10,10,3,5,15,10,1,2,8,9,10,15,15,15,15,1,2,2,3,3,4,10,10,10,10,10,8,5,4,0.89084507,0.887477314,0.180851064
,,0,0.270833333,0.489279281,2,10,3,7,2,6,5,2,7,2,2,6,4,2,3,9,10,10,11,4,1,1,2,2,3,1,3,2,5,4,10,6,5,0.870892019,0.86569873,0.074468085
,,0,0.291666667,0.406162453,2,9,7,3,4,7,9,2,2,5,1,3,6,3,7,2,5,4,3,1,1,1,1,1,1,1,2,2,5,6,5,6,6,0.856807512,0.927404719,0.074468085
,,0,0.270833333,0.77310814,1,1,4,2,6,5,1,1,1,10,1,1,3,3,3,1,2,1,1,1,1,1,1,3,3,1,1,1,1,3,3,2,8,0.75,0.878402904,0.255319149
,,0,0.125,0.618428023,2,4,4,4,8,7,3,3,4,4,1,3,4,4,3,5,3,2,3,1,6,4,1,1,1,2,2,2,8,5,3,3,3,0.73943662,0.958257713,0.734042553
,,0,0.479166667,0.768462989,1,10,6,3,10,3,6,2,2,9,2,3,6,6,5,3,5,4,5,1,3,2,1,1,1,1,1,1,1,1,1,2,3,0.829812207,0.927404719,0.170212766
,,0,0.354166667,0.612820785,6,10,7,10,4,10,3,3,10,10,1,2,7,7,7,10,11,13,15,2,6,7,1,1,1,6,6,6,10,8,4,6,3,0.8157277,0.936479129,0.170212766
,,0,0.270833333,0.599402403,3,2,6,8,10,9,5,3,9,8,1,2,6,6,6,8,4,5,6,1,1,1,4,4,4,2,4,3,8,6,3,5,5,0.738262911,0.903811252,0.5
,,0,0.5625,0.787073259,10,7,3,5,9,9,3,3,5,6,2,5,3,3,5,6,4,5,6,2,4,7,1,1,1,10,10,10,10,10,10,6,6,0.807511737,0.936479129,0.276595745
,,0,0.166666667,0.767216936,3,4,3,6,7,10,3,3,7,2,2,5,4,4,3,6,7,8,7,4,5,5,2,2,3,4,3,3,10,9,4,6,6,0.764084507,0.900181488,0.340425532
,,0,0.208333333,0.691686622,5,8,5,5,10,7,2,3,6,7,1,2,5,6,4,6,5,6,7,1,6,8,1,1,2,3,4,4,10,10,8,6,3,0.819248826,0.887477314,0.170212766
,,0,0.520833333,0.937099748,1,1,4,2,3,2,1,1,2,8,1,1,4,4,4,2,2,2,4,1,2,3,1,1,1,1,1,1,1,1,3,1,1,0.719483568,0.916515426,0.382978723
,,0,0.229166667,0.812464769,10,10,15,15,9,10,5,4,15,3,1,4,14,13,13,15,10,10,10,1,6,10,1,1,1,10,10,10,10,8,10,6,9,0.79342723,0.925589837,0.053191489
,,0,0.125,0.606704952,2,8,8,6,10,6,2,2,6,3,2,5,8,8,8,6,6,6,8,1,3,3,1,1,1,1,1,2,3,3,3,6,2,0.84741784,0.887477314,0.20212766
,,0,0.208333333,0.602657399,3,9,6,6,9,10,5,2,7,4,1,6,6,7,5,8,9,10,10,1,3,3,1,1,1,4,4,4,10,10,9,6,7,0.860328638,0.923774955,0.106382979
,,0,0.354166667,0.47438598,2,2,6,8,8,10,2,1,9,8,2,3,6,4,6,9,4,6,5,1,7,9,1,2,3,3,2,3,10,7,4,7,9,0.779342723,0.931034483,0.680851064
,,0,0.270833333,0.701015067,4,4,9,10,9,10,6,3,9,9,1,3,8,7,8,9,9,9,7,1,5,8,1,1,2,3,4,4,10,9,6,7,7,0.856807512,0.967332123,0.35106383
,,0,0.645833333,0.6586535,1,1,8,9,5,3,1,1,10,8,2,1,8,8,8,2,3,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,8,0.734741784,0.885662432,-99
,,0,0.229166667,0.910504567,1,1,4,5,4,5,1,1,7,10,1,1,4,4,4,9,3,2,2,1,1,1,1,3,4,1,1,1,1,1,1,2,3,0.773474178,0.91107078,0.170212766
